"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cluster","gene_name"
"ENSG00000169583",560.281846082749,0.123338042689233,0.534647208813428,10.248062128442,0.00595198165138322,0.0392579088274691,1,"CLIC3"
"ENSG00000169905",1834.4379396223,-0.228728336783144,0.234554167089009,14.9368822225953,0.000570817444521867,0.00999024722211042,1,"TOR1AIP2"
"ENSG00000169908",7996.94074836065,-0.152781179379529,0.29536857781486,18.0728625858629,0.00011899473697502,0.00411540710985997,1,"TM4SF1"
"ENSG00000170027",3441.02146102418,-0.38518872657037,0.189488601798236,24.4454755215779,4.91736489794083e-06,0.000830294370910701,1,"YWHAG"
"ENSG00000170185",2867.7769304228,-0.549587656426913,0.364763933188947,23.4962074684147,7.90429927727876e-06,0.00098048614960736,1,"USP38"
"ENSG00000170248",4661.8516819986,-0.332530828526086,0.146054913168525,10.6918190967082,0.00476761285824233,0.033921266977539,1,"PDCD6IP"
"ENSG00000170423",2653.97357467791,-0.327762957069508,0.669831661538961,18.9656067968995,7.61501584053669e-05,0.00328312430913545,1,"KRT78"
"ENSG00000170426",119.142134223993,0.358098065957556,1.14798117503984,11.9145126429204,0.00258700014052073,0.0236138176382984,1,"SDR9C7"
"ENSG00000170485",1030.19474019944,-0.00357248391099992,0.205381215200685,10.3362157783736,0.00569533483538677,0.0380922571699754,1,"NPAS2"
"ENSG00000170540",2891.88929243311,-0.0607412714023546,0.162143257870987,14.9756840280879,0.00055984980585195,0.00987553949478544,1,"ARL6IP1"
"ENSG00000170545",2205.9663164086,-0.231525560416028,0.244332913144089,10.1820113254142,0.00615183010915481,0.0400284111274208,1,"SMAGP"
"ENSG00000170786",1626.3968981527,-0.271044948896172,0.213705234028875,10.2422258359361,0.00596937577128642,0.0393400162159883,1,"SDR16C5"
"ENSG00000171100",622.74453687756,-0.390314537124686,0.135506078675346,17.1907773404772,0.000184956726651582,0.00526382211860469,1,"MTM1"
"ENSG00000171159",1606.55830525491,-0.0931554821737133,0.232523599189585,11.5604235292401,0.00308806139684259,0.0263138557913062,1,"C9orf16"
